doc,key,source,tokens,status,lines
evaluation,R348:median_nondefault_gain_over_default,R348 report summary,0.6188,pass,"107,437"
evaluation,R348:max_gain_over_default,R348 report summary,288.0,pass,107
evaluation,R348:r335_actionability_cards,R348 report summary,6 actionability cards,pass,107
evaluation,R348:r341_actionable_objective_rows,R348 report summary,36 objective rows,pass,"106,107,327,437,439"
evaluation,R348:r347_visible_views,R348 report summary,5 visible views,pass,107
evaluation,R348:objective_counterfactual_rows,R348 objective-counterfactuals.csv,36 objective rows,pass,"106,107,327,437,439"
evaluation,R348:action_class_summary_rows,R348 action-class-summary.csv,6 action classes,pass,107
evaluation,R348:task_action_counterfactual_card_rows,R348 task-action-counterfactual-cards.csv,6 task cards,pass,327
evaluation,R348:flat_counterpoint_action_rows,R348 action-class-summary.csv,7 flat counterpoint rows,pass,107
evaluation,R348:fixed_session_drilldown_rows,R348 action-class-summary.csv,7 fixed-session drilldown rows,pass,107
evaluation,R348:dataset_native_hierarchy_rows,R348 action-class-summary.csv,5 dataset-native rows,pass,107
evaluation,R348:raw_action_counterpoint_rows,R348 action-class-summary.csv,6 raw-action rows,pass,107
evaluation,R348:keep_default_operation_stack_rows,R348 action-class-summary.csv,9 keep-default rows,pass,107
evaluation,R348:retune_operation_stack_ranker_rows,R348 action-class-summary.csv,2 operation-stack ranker rows,pass,107
evaluation,R349:overall,R349 report summary,R349,pass,"15,108,109,110,249,253,257,263"
evaluation,R349:transfer_decisions_total,R349 report summary,96 transfer decisions,pass,"109,438"
evaluation,R349:aligned_decisions,R349 report summary,60 aligned decisions,pass,"109,327,438"
evaluation,R349:excluded_decisions,R349 report summary,36 excluded decisions,pass,109
evaluation,R349:aligned_objectives,R349 report summary,5 aligned objectives,pass,109
evaluation,R349:tasks,R349 report summary,6 tasks,pass,"15,109,327,439"
evaluation,R349:datasets,R349 report summary,4 datasets,pass,"15,109,439"
evaluation,R349:selected_visible_non_oracle_rows,R349 report summary,60/60 selected visible non-oracle,pass,109
evaluation,R349:best_visible_non_oracle_rows,R349 report summary,60/60 best visible non-oracle,pass,109
evaluation,R349:r340_r348_best_policy_match_rows,R349 report summary,50/60 best-policy matches,pass,109
evaluation,R349:r340_r348_best_policy_mismatch_rows,R349 report summary,10/60 best-policy mismatches,pass,109
evaluation,R349:selected_action_exact,R349 report summary,7/60 exact action,pass,109
evaluation,R349:selected_r348_policy_exact,R349 report summary,7/60 policy exact,pass,109
evaluation,R349:selected_r340_exact_best,R349 report summary,13/60 R340 exact best,pass,109
evaluation,R349:selected_view_exact,R349 report summary,11/60 view exact,pass,109
evaluation,R349:selected_ranker_exact,R349 report summary,27/60 ranker exact,pass,109
evaluation,R349:selected_within_tolerance,R349 report summary,35/60 within tolerance,pass,109
evaluation,R349:selected_beats_default,R349 report summary,30/60 beats default,pass,109
evaluation,R349:default_within_tolerance,R349 report summary,26/60 default within tolerance,pass,109
evaluation,R349:nondefault_target_rows,R349 report summary,42 non-default target rows,pass,109
evaluation,R349:nondefault_target_action_exact,R349 report summary,2/42 non-default exact action,pass,109
evaluation,R349:nondefault_target_within_tolerance,R349 report summary,24/42 non-default within tolerance,pass,109
evaluation,R349:nondefault_target_selected_default_action,R349 report summary,2/42 selected default action,pass,109
evaluation,R349:leave_task_action_exact,R349 report summary,leave-task 4/30 exact action,pass,109
evaluation,R349:leave_dataset_action_exact,R349 report summary,leave-dataset 3/30 exact action,pass,109
evaluation,R349:leave_task_within_tolerance,R349 report summary,leave-task 18/30 within tolerance,pass,109
evaluation,R349:leave_dataset_within_tolerance,R349 report summary,leave-dataset 17/30 within tolerance,pass,109
evaluation,R349:sequence_objective_excluded_rows,R349 report summary,36 sequence objective exclusions,pass,109
evaluation,R349:r348_untransferred_objective_rows,R349 report summary,6 R348 untransferred objectives,pass,109
evaluation,R349:decision_rows,R349 action-transfer-decisions.csv,60 aligned decisions,pass,"109,327,438"
evaluation,R349:summary_rows,R349 action-transfer-summary.csv,13 summary rows,pass,109
evaluation,R349:confusion_rows,R349 action-transfer-confusion.csv,16 action-confusion rows,pass,109
evaluation,R349:task_card_rows,R349 task-action-transfer-cards.csv,12 task cards,pass,109
evaluation,R349:excluded_rows,R349 excluded-transfer-decisions.csv,36 excluded decisions,pass,109
evaluation,R349:untransferred_rows,R349 untransferred-r348-objectives.csv,6 R348 untransferred objectives,pass,109
evaluation,R350:overall,R350 report summary,R350,pass,"15,110,111,112,113,256,265,267"
evaluation,R350:tasks,R350 report summary,6 tasks,pass,"15,111,113,327,439"
evaluation,R350:datasets,R350 report summary,4 datasets,pass,"15,111,113,439"
evaluation,R350:objective_rows,R350 report summary,36 objective rows,pass,"111,327,439"
evaluation,R350:action_classes,R350 report summary,6 action classes,pass,111
evaluation,R350:packets_with_top5_positive,R350 report summary,6/6 top-5 positive packets,pass,"15,111,113"
evaluation,R350:packets_with_top1_positive,R350 report summary,5/6 top-1 positive packets,pass,"15,111"
evaluation,R350:packets_with_30pct_work_budget,R350 report summary,4/6 strict 30% work packets,pass,"15,111,113"
evaluation,R350:packets_with_first_positive_10pct_budget,R350 report summary,4/6 first-positive <=10% work packets,pass,111
evaluation,R350:packets_with_baseline_counterpoints,R350 report summary,6/6 baseline counterpoints,pass,"111,439"
evaluation,R350:packets_with_nondefault_actions,R350 report summary,6/6 non-default action packets,pass,111
evaluation,R350:packets_with_three_or_more_action_classes,R350 report summary,6/6 three-action-class packets,pass,111
evaluation,R350:operation_stack_beats_flat_work_tasks,R350 report summary,6/6 beats flat work,pass,111
evaluation,R350:operation_stack_beats_fixed_recall_tasks,R350 report summary,5/6 beats fixed recall,pass,111
evaluation,R350:operation_stack_fewer_groups_than_fixed_tasks,R350 report summary,4/6 fewer groups than fixed,pass,111
evaluation,R350:median_top5_work,R350 report summary,0.0937,pass,"15,111,327"
evaluation,R350:median_first_positive_work,R350 report summary,0.0378,pass,111
evaluation,R350:median_top5_recall,R350 report summary,0.188,pass,"111,327"
evaluation,R350:median_top5_lift,R350 report summary,1.6508,pass,"111,327"
evaluation,R350:nondefault_objective_rows,R350 report summary,27/36 non-default objective rows,pass,"15,111,327,439"
evaluation,R350:visible_non_oracle_best_rows,R350 report summary,36/36 visible non-oracle best rows,pass,"111,439"
evaluation,R350:median_nondefault_gain_over_default,R350 report summary,0.6188,pass,111
evaluation,R350:max_gain_over_default,R350 report summary,288.0,pass,111
evaluation,R350:r349_aligned_transfer_decisions,R350 report summary,60 aligned transfer decisions,pass,111
evaluation,R350:r349_selected_within_tolerance,R350 report summary,35/60 within tolerance,pass,111
evaluation,R350:r349_selected_action_exact,R350 report summary,7/60 exact action,pass,111
evaluation,R350:r349_nondefault_target_within_tolerance,R350 report summary,24/42 non-default within tolerance,pass,111
evaluation,R350:task_packet_rows,R350 task-evidence-packets.csv,6 task packets,pass,111
evaluation,R350:objective_packet_rows,R350 objective-evidence-packets.csv,36 objective packets,pass,111
evaluation,R350:budget_summary_rows,R350 budget-summary.csv,7 budget rows,pass,111
evaluation,R350:budget_top5_positive,R350 budget-summary.csv,6/6 top-5 positive packets,pass,"15,111,113"
evaluation,R350:budget_30pct_packets,R350 budget-summary.csv,4/6 strict 30% work packets,pass,"15,111,113"
evaluation,R350:budget_actionable_counterfactual,R350 budget-summary.csv,27/36 non-default objective rows,pass,"15,111,327,439"
